Facility ID#,Facility Name,Facility Type,Facility Type ID,Full Address,Address,City,State,ZIP,Under/Over 72 Hr,Facility Operator,Facility Owner,Housing Options,Total ICE Pop. Per Day,Guaranteed Lockup Quota,Taxpayer $ Per Person Per Day,PBNDS/NDS
110,CONTRA COSTA COUNTY JAIL WEST,County & City-Operated Detention Facilities,3,5555 Giant Highway Richmond CA 94806,5555 GIANT HIGHWAY,RICHMOND,CA,94806,Over,County (Sheriff),OFDT,Male/Female,318,No,82.00,NDS
111,CUMBERLAND COUNTY JAIL,County & City-Operated Detention Facilities,3,50 County Way Portland ME 4102,50 COUNTY WAY,PORTLAND,ME,4102,Over,County (Sheriff),County,Male/Female,AS NEEDED,No,130.00,NDS
112,DAKOTA COUNTY JAIL,County & City-Operated Detention Facilities,3,1601 Broadway Dakota City NE 68731,1601 BROADWAY,DAKOTA CITY,NE,68731,Under,County (Sheriff),County,Male,20,No,65.00,NDS
113,DALE G. HAILE DETENTION CENTER,County & City-Operated Detention Facilities,3,1115 Albany Caldwell ID 83605,1115 ALBANY,CALDWELL,ID,83605,Over,County (Sheriff),County,Male/Female,AS NEEDED,No,54.00,NDS
114,DAVIDSON COUNTY SHERIFF,County & City-Operated Detention Facilities,3,448 2Nd Avenue Nashville TN 37210,448 2ND AVENUE,NASHVILLE,TN,37210,Over,County (Sheriff),County,Male,26,No,61.00,NDS
115,DEKALB COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,2801 Jordan Road Fort Payne AL 35968,2801 JORDAN ROAD,FORT PAYNE,AL,35968,Over,County (Sheriff),County,Male,60,No,47.00,NDS
116,DODGE COUNTY JAIL,County & City-Operated Detention Facilities,3,215 West Central Street Juneau WI 53039,215 WEST CENTRAL STREET,JUNEAU,WI,53039,Over,County (Sheriff),County,Male,265,No,75.00,NDS
117,EL PASO COUNTY CRIMINAL JUSTICE CENTER,County & City-Operated Detention Facilities,3,2739 East Las Vegas Colorado Spring CO 80906,2739 EAST LAS VEGAS,COLORADO SPRING,CO,80906,Over,County (Sheriff),County,Male/Female,6,No,62.40,NDS
118,ELMORE COUNTY JAIL,County & City-Operated Detention Facilities,3,2255 E. 8Th North Mountain Home ID 83647,2255 E. 8TH NORTH,MOUNTAIN HOME,ID,83647,Over,County (Sheriff),County,Male,15,No,60.00,NDS
119,ETOWAH COUNTY JAIL (ALABAMA),County & City-Operated Detention Facilities,3,827 Forrest Avenue Gadsden AL 35901,827 FORREST AVENUE,GADSDEN,AL,35901,Over,County (Sheriff),County,Male,297,No,45.00,NDS
120,FORSYTH COUNTY JAIL,County & City-Operated Detention Facilities,3,201 North Church Street Winston-Salem NC 27101,201 NORTH CHURCH STREET,WINSTON-SALEM,NC,27101,Under,County (Sheriff),County,Male,AS NEEDED,No,62.22,NDS
121,FRANKLIN HOUSE OF CORRECTIONS,County & City-Operated Detention Facilities,3,160 Elm Street Greenfield MA 1301,160 ELM STREET,GREENFIELD,MA,1301,Over,County (Sheriff),County,Male/Female,90,No,86.00,NDS
122,FREDERICK COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,7300 Marcie'S Choice Lane Frederick MD 21704,7300 MARCIE'S CHOICE LANE,FREDERICK,MD,21704,Over,County (Sheriff),County,Male/Female,62,No,83.00,NDS
123,FREEBORN COUNTY ADULT DETENTION CENTER,County & City-Operated Detention Facilities,3,411 South Broadway Avenue Albert Lea MN 56007,411 SOUTH BROADWAY AVENUE,ALBERT LEA,MN,56007,Over,County (Sheriff),County,Male,72,No,77.02,NDS
124,GARVIN COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,201 West Grant Avenue Pauls Valley OK 73075,201 WEST GRANT AVENUE,PAULS VALLEY,OK,73075,Under,County (Sheriff),County,Male,20,No,43.50,NDS
125,GEAUGA COUNTY JAIL,County & City-Operated Detention Facilities,3,12450 Merritt Dr Chardon OH 44024,12450 MERRITT DR,CHARDON,OH,44024,Over,County (Sheriff),County,Male,30,No,70.00,NDS
126,GLADES COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,1279 East Sr 78 Moore Haven FL 33471,1279 EAST SR 78,MOORE HAVEN,FL,33471,Over,County (Sheriff),County,Male/Female,300 (expanding to add 50 more beds as of late 2016),No,80.64,NDS
127,GRAND FORKS COUNTY CORRECTIONAL FACILITY,County & City-Operated Detention Facilities,3,1701 North Washington St Grand Forks ND 58206,1701 NORTH WASHINGTON ST,GRAND FORKS,ND,58206,Over,County (Sheriff),County,Male,10,No,"$150.00 for UAC, $70.00 for Adult",NDS
128,HALL COUNTY DEPARTMENT OF CORRECTIONS,County & City-Operated Detention Facilities,3,110 Public Safety Drive Grand Island NE 68801,110 PUBLIC SAFETY DRIVE,GRAND ISLAND,NE,68801,Over,County (Sheriff),County,Male/Female,80,No,63.01,NDS
129,HALL COUNTY JAIL,County & City-Operated Detention Facilities,3,1700 Barber Road Gainesville GA 30507,1700 BARBER ROAD,GAINESVILLE,GA,30507,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,53.00,NDS
130,HARDIN COUNTY JAIL,County & City-Operated Detention Facilities,3,1116 14Th Avenue Eldora IA 50627,1116 14TH AVENUE,ELDORA,IA,50627,Over,County (Sheriff),County,Male,68,No,70.00,NDS
131,JAMES A. MUSICK FACILITY,County & City-Operated Detention Facilities,3,13502 Musick Road Irvine CA 92618,13502 MUSICK ROAD,IRVINE,CA,92618,Over,County (Sheriff),County,Male/Female,294,No,118.00,PBNDS 2008
132,JOSEPHINE COUNTY JAIL,County & City-Operated Detention Facilities,3,1901 Northeast F Street Grants Pass OR 97526,1901 NORTHEAST F STREET,GRANTS PASS,OR,97526,Over,County (Sheriff),County,Male/Female,31,No,100.00,NDS
133,KENOSHA COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,4777 88Th Avenue Kenosha WI 53144,4777 88TH AVENUE,KENOSHA,WI,53144,Over,County (Sheriff),County,Male,210,No,70.00,NDS
134,KENT COUNTY JAIL,County & City-Operated Detention Facilities,3,701 Ball Avenue Northeast Grand Rapids MI 49503,701 BALL AVENUE NORTHEAST,GRAND RAPIDS,MI,49503,Under,County (Sheriff),County,Male/Female,5,No,85.00,NDS
135,LA PAZ COUNTY ADULT DETENTION FACILITY,County & City-Operated Detention Facilities,3,1109 Arizona Ave. Parker AZ 85344,1109 ARIZONA AVE.,PARKER,AZ,85344,Under,County (Sheriff),County,Male,AS NEEDED,No,60.00,NDS
136,LEXINGTON COUNTY JAIL,County & City-Operated Detention Facilities,3,521 Gibson Road Lexington SC 29072,521 GIBSON ROAD,LEXINGTON,SC,29072,Under,County (Sheriff),County,Male,28,No,60.81,NDS
137,LINCOLN COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,65 Business Park Drive Troy MO 63379,65 BUSINESS PARK DRIVE,TROY,MO,63379,Over,County (Sheriff),County,Male,10,No,50.00,NDS
138,LINN COUNTY JAIL,County & City-Operated Detention Facilities,3,53 3Rd Avenue Bridge Cedar Rapids IA 52401,53 3RD AVENUE BRIDGE,CEDAR RAPIDS,IA,52401,Over,County (Sheriff),County,Male,25,No,64.70,NDS
139,LUBBOCK COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,811 Main Street Lubbock TX 79401,811 MAIN STREET,LUBBOCK,TX,79401,Under,County (Sheriff),USM,Male/Female,15,No,65.00,NDS
140,MARION COUNTY JAIL,County & City-Operated Detention Facilities,3,40 South Alabama Street Indianapolis IN 46204,40 SOUTH ALABAMA STREET,INDIANAPOLIS,IN,46204,Under,County (Sheriff),County,Male/Female,5,No,65.00,NDS
141,MARSHALL COUNTY JAIL,County & City-Operated Detention Facilities,3,2369 Jessup Avenue Marshalltown IA 50158,2369 JESSUP AVENUE,MARSHALLTOWN,IA,50158,Over,County (Sheriff),County,Male,51,No,50.00,NDS
142,MCHENRY COUNTY CORRECTIONAL FACILITY,County & City-Operated Detention Facilities,3,2200 North Seminary Avenue Woodstock IL 60098,2200 NORTH SEMINARY AVENUE,WOODSTOCK,IL,60098,Over,County (Sheriff),County,Male/Female,209,No,95.00,NDS
143,MECKLENBURG COUNTY DETENTION CENTER NORTH,County & City-Operated Detention Facilities,3,5234 Spector Drive Charlotte NC 28202,5234 SPECTOR DRIVE,CHARLOTTE,NC,28202,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,124.78,NDS
144,MILLER COUNTY JAIL,County & City-Operated Detention Facilities,3,2300 East Street Texarkana AR 71854,2300 EAST STREET,TEXARKANA,AR,71854,Under,County (Sheriff),County,Male/Female,13,No,52.00,NDS
145,MINICASSIA DETENTION CENTER,County & City-Operated Detention Facilities,3,1415 Albion Avenue Burley ID 83318,1415 ALBION AVENUE,BURLEY,ID,83318,Over,County (Sheriff),County,Male,10,No,45.00,NDS
146,MOFFAT COUNTY JAIL,County & City-Operated Detention Facilities,3,800 West 1St Street Craig CO 81625,800 WEST 1ST STREET,CRAIG,CO,81625,Under,County (Sheriff),County,Male/Female,30,No,57.86,NDS
147,MONROE COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,5501 College Road Key West FL 33040,5501 COLLEGE ROAD,KEY WEST,FL,33040,Over,County (Sheriff),County,Male,72,Yes - 50 beds,"$87.00 (1-50), $25.00 (51-72)",PBNDS 2008
148,MONROE COUNTY DETENTION-DORM,County & City-Operated Detention Facilities,3,7000 East Dunbar Road Monroe MI 48161,7000 EAST DUNBAR ROAD,MONROE,MI,48161,Over,County (Sheriff),County,Male,86,No,74.96,NDS
149,MONTGOMERY COUNTY JAIL,County & City-Operated Detention Facilities,3,211 East Third Street Montgomery City MO 63361,211 EAST THIRD STREET,MONTGOMERY CITY,MO,63361,Over,County (Sheriff),County,Male,50,No,50.00,NDS
150,MORGAN COUNTY ADULT DETENTION CENTER,County & City-Operated Detention Facilities,3,320 North Ripley Street Montgomery AL 36104,320 NORTH RIPLEY STREET,MONTGOMERY,AL,36104,Over,County (Sheriff),County,Male/Female,AS NEEDED,No,,NDS
151,MORROW COUNTY CORRECTIONAL FACILITY,County & City-Operated Detention Facilities,3,211 East Newton Street Versailles MO 65084,211 EAST NEWTON STREET,VERSAILLES,MO,65084,Over,County (Sheriff),County,Male/Female,54,No,65.10,NDS
152,NATRONA COUNTY JAIL,County & City-Operated Detention Facilities,3,101 Home Road Mount Gilead OH 43338,101 HOME ROAD,MOUNT GILEAD,OH,43338,Over,County (Sheriff),County,Male,40,No,53.64,NDS
153,NAVAJO COUNTY SHERIFF,County & City-Operated Detention Facilities,3,1100 Bruce Lane Casper WY 82601,1100 BRUCE LANE,CASPER,WY,82601,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,75.00,NDS
154,NEW HANOVER COUNTY JAIL,County & City-Operated Detention Facilities,3,100 East Carter Drive Holbrook AZ 86025,100 EAST CARTER DRIVE,HOLBROOK,AZ,86025,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,59.00,NDS
155,NOBLES COUNTY JAIL,County & City-Operated Detention Facilities,3,3950 Juvenile Rd Castle Hayne NC 28429,3950 JUVENILE RD,CASTLE HAYNE,NC,28429,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,60.00,NDS
156,NORFOLK COUNTY JAIL,County & City-Operated Detention Facilities,3,1530 Airport Road Worthington MN 56187,1530 AIRPORT ROAD,WORTHINGTON,MN,56187,Over,County (Sheriff),County,Male,10,No,89.69,NDS
157,ONTARIO COUNTY JAIL,County & City-Operated Detention Facilities,3,200 West Street Dedham MA 2026,200 WEST STREET,DEDHAM,MA,2026,Over,County (Sheriff),County,Male,50,No,95.00,NDS
158,ORANGE COUNTY CENTRAL WOMEN'S JAIL,County & City-Operated Detention Facilities,3,3045 County Complex Drive Canandaigua NY 14424,3045 COUNTY COMPLEX DRIVE,CANANDAIGUA,NY,14424,Over,County (Sheriff),County,Male/Female,3,No,80.00,NDS
159,ORANGE COUNTY INTAKE RELEASE FACILITY,County & City-Operated Detention Facilities,3,550 North Flower Street Santa Ana CA 92703,550 NORTH FLOWER STREET,SANTA ANA,CA,92703,Under,County (Sheriff),County,Female,172,No,118.00,NDS
160,PENNINGTON COUNTY JAIL (SOUTH DAKOTA),County & City-Operated Detention Facilities,3,307 Saint Joseph Street Rapid City SD 57701,307 SAINT JOSEPH STREET,RAPID CITY,SD,57701,Over,County (Sheriff),County,Male/Female,5,No,75.00,NDS
161,PHELPS COUNTY JAIL,County & City-Operated Detention Facilities,3,715 5Th Avenue Holdrege NE 68949,715 5TH AVENUE,HOLDREGE,NE,68949,Over,County (Sheriff),County,Male/Female,20,No,55.00,NDS
162,PIKE COUNTY CORRECTIONAL FACILITY,County & City-Operated Detention Facilities,3,175 Pike County Boulevard Lords Valley PA 18428,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PA,18428,Over,County (Sheriff),County,Male,199,No,82.31,PBNDS 2008
163,PINELLAS COUNTY JAIL,County & City-Operated Detention Facilities,3,14400 49Th Street North Clearwater FL 33762,14400 49TH STREET NORTH,CLEARWATER,FL,33762,Under,County (Sheriff),County,Male/Female,5,No,80.00,NDS
164,PLATTE COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,415 Third Street Platte City MO 64079,415 THIRD STREET,PLATTE CITY,MO,64079,Under,County (Sheriff),County,Male/Female,20,No,77.90,NDS
165,PLYMOUTH COUNTY CORRECTIONAL FACILITY,County & City-Operated Detention Facilities,3,26 Long Pond Road Plymouth MA 2360,26 LONG POND ROAD,PLYMOUTH,MA,2360,Over,County (Sheriff),County,Male,121,No,93.82,NDS
166,POLK COUNTY JAIL,County & City-Operated Detention Facilities,3,1985 Ne 51St Des Moines IA 50313,1985 NE 51ST,DES MOINES,IA,50313,Over,County (Sheriff),County,Male,60,No,95.00,NDS
167,POTTAWATTAMIE COUNTY JAIL,County & City-Operated Detention Facilities,3,1400 Big Lake Road Council Bluffs IA 51501,1400 BIG LAKE ROAD,COUNCIL BLUFFS,IA,51501,Over,County (Sheriff),County,Male/Female,16,No,79.26,NDS
168,RAMSEY COUNTY ADULT DETENTION CENTER,County & City-Operated Detention Facilities,3,425 Grove Street St. Paul MN 55101,425 GROVE STREET,ST. PAUL,MN,55101,Over,County (Sheriff),County,Male/Female,15,No,80.00,NDS
169,RANDALL COUNTY JAIL,County & City-Operated Detention Facilities,3,9100 South Georgia Street Amarillo TX 79118,9100 SOUTH GEORGIA STREET,AMARILLO,TX,79118,Under,County (Sheriff),USM,Male/Female,40,No,65.00,NDS
170,RIO COSUMNES CORR. CENTER,County & City-Operated Detention Facilities,3,12500 Bruceville Road Elk Grove CA 95757,12500 BRUCEVILLE ROAD,ELK GROVE,CA,95757,Over,County (Sheriff),County,Male,160,No,100.00,NDS
171,ROCK ISLAND COUNTY CORRECTIONAL CENTER,County & City-Operated Detention Facilities,3,1317 3Rd Avenue Rock Island IL 61201,1317 3RD AVENUE,ROCK ISLAND,IL,61201,Under,County (Sheriff),County,Male/Female,20,No,45.00,NDS
172,SAINT CLAIR COUNTY JAIL,County & City-Operated Detention Facilities,3,1170 Michigan Road Port Huron MI 48060,1170 MICHIGAN ROAD,PORT HURON,MI,48060,Over,County (Sheriff),County,Male/Female,69,No,82.00,PBNDS 2008
173,SAINT TAMMANY PARISH JAIL,County & City-Operated Detention Facilities,3,701 North Columbia Street Covington LA 70433,701 NORTH COLUMBIA STREET,COVINGTON,LA,70433,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,56.69,NDS
174,SALEM COUNTY CORRECTIONAL FACILITY,County & City-Operated Detention Facilities,3,125 Cemetery Road Woodstown NJ 80898,125 CEMETERY ROAD,WOODSTOWN,NJ,80898,Under,County (Sheriff),County,,AS NEEDED,No,100.00,NDS
175,SANGAMON COUNTY JAIL,County & City-Operated Detention Facilities,3,1 Sheriffs Plaza Springfield IL 62701,1 SHERIFFS PLAZA,SPRINGFIELD,IL,62701,Under,County (Sheriff),County,Male/Female,10,No,53.50,NDS
176,SEBASTIAN COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,801 South A Street Fort Smith AR 72901,801 SOUTH A STREET,FORT SMITH,AR,72901,Under,County (Sheriff),County,Male,20,No,53.00,NDS
177,SENECA COUNTY JAIL,County & City-Operated Detention Facilities,3,3040 South State Highway 100 Tiffin OH 44883,3040 SOUTH STATE HIGHWAY 100,TIFFIN,OH,44883,Over,County (Sheriff),County,Male,80,No,58.00,NDS
178,SHERBURNE COUNTY JAIL,County & City-Operated Detention Facilities,3,13880 United States Highway 10 Elk River MN 55330,13880 UNITED STATES HIGHWAY 10,ELK RIVER,MN,55330,Over,County (Sheriff),County,Male/Female,144,No,80.00,NDS
179,SUFFOLK COUNTY HOUSE OF CORRECTIONS,County & City-Operated Detention Facilities,3,20 Bradston Street Boston MA 2118,20 BRADSTON STREET,BOSTON,MA,2118,Over,County (Sheriff),County,Male,245,No,90.00,NDS
180,TELLER COUNTY JAIL,County & City-Operated Detention Facilities,3,288 Weaverville Road Divide CO 80814,288 WEAVERVILLE ROAD,DIVIDE,CO,80814,Over,County (Sheriff),County,Male,40,No,60.00,NDS
181,THEO LACY FACILITY,County & City-Operated Detention Facilities,3,501 The City Drive South Orange CA 92868,501 THE CITY DRIVE SOUTH,ORANGE,CA,92868,Over,County (Sheriff),County,Male,459,No,118.00,PBNDS 2008
182,TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),County & City-Operated Detention Facilities,3,300 North Denver Avenue Tulsa OK 74103,300 NORTH DENVER AVENUE,TULSA,OK,74103,Over,County (Sheriff),County,Male,190,No,54.13,NDS
183,UTAH COUNTY JAIL,County & City-Operated Detention Facilities,3,3075 North Main Street Spanish Fork UT 84660,3075 NORTH MAIN STREET,SPANISH FORK,UT,84660,Over,County (Sheriff),County,Male/Female,250,No,72.25,NDS
184,WAKE COUNTY SHERIFF DEPARTMENT,County & City-Operated Detention Facilities,3,330 South Salisbury Street Raleigh NC 27601,330 SOUTH SALISBURY STREET,RALEIGH,NC,27601,Under,County (Sheriff),County,Male,9,No,63.86,NDS
185,WAKULLA COUNTY JAIL,County & City-Operated Detention Facilities,3,15 Oak Street Crawfordville FL 32327,15 OAK STREET,CRAWFORDVILLE,FL,32327,Over,County (Sheriff),County,Male,150,No,79.66,NDS
186,WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC,County & City-Operated Detention Facilities,3,750 South 5400 West Hurricane UT 84737,750 SOUTH 5400 WEST,HURRICANE,UT,84737,Over,County (Sheriff),County,Male,6,No,58.00,NDS
187,WASHOE COUNTY JAIL,County & City-Operated Detention Facilities,3,911 Parr Boulevard Reno NV 89512,911 PARR BOULEVARD,RENO,NV,89512,Over,County (Sheriff),County,Male/Female,86,No,109.00,NDS
188,WAYNE COUNTY JAIL,County & City-Operated Detention Facilities,3,7368 State Route 31 Lyons NY 14489,7368 STATE ROUTE 31,LYONS,NY,14489,Over,County (Sheriff),County,Female,19,No,75.00,NDS
189,WHITFIELD COUNTY JAIL,County & City-Operated Detention Facilities,3,805 Professional Blvd Dalton GA 30720,805 PROFESSIONAL BLVD,DALTON,GA,30720,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,41.03,NDS
190,WORCESTER COUNTY JAIL,County & City-Operated Detention Facilities,3,5022 Joyner Road Snow Hill MD 21863,5022 JOYNER ROAD,SNOW HILL,MD,21863,Over,County (Sheriff),County,Male/Female,170,No,87.11,NDS
191,YAVAPAI COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,3505 West State Highway 260 Camp Verde AZ 86322,3505 WEST STATE HIGHWAY 260,CAMP VERDE,AZ,86322,Under,County (Sheriff),County,Male/Female,AS NEEDED,No,59.50,NDS
192,YORK COUNTY DETENTION CENTER,County & City-Operated Detention Facilities,3,1675-3A York Hwy York SC 29745,1675-3A YORK HWY,YORK,SC,29745,Over,County (Sheriff),County,Male,70,No,55.00,NDS
193,YORK COUNTY PRISON,County & City-Operated Detention Facilities,3,3400 Concord Road York PA 17402,3400 CONCORD ROAD,YORK,PA,17402,Over,County (Sheriff),County,Male/Female,800,No,83.00,PBNDS 2008
194,YUBA COUNTY JAIL,County & City-Operated Detention Facilities,3,215 5Th Street Marysville CA 95901,215 5TH STREET,MARYSVILLE,CA,95901,Over,County (Sheriff),County,Male/Female,212,No,75.16,NDS
195,KANKAKEE COUNTY JAIL (JEROME COMBS DETENTION CENTER),County & City-Operated Detention Facilities,3,3050 South Justice Way Kankakee IL 60901,3050 SOUTH JUSTICE WAY,KANKAKEE,IL,60901,,County,County,,"75 beds activated, 125 designated for future use as of late 2016",,,
196,ALLEN PARISH PUBLIC SAFETY COMPLEX,County & City-Operated Detention Facilities,3,7340 Highway 26 West Oberlin LA 70655,7340 HIGHWAY 26 WEST,OBERLIN,LA,70655,Over,County,County,,43,,,PBNDS 2011
197,LA SALLE COUNTY REGIONAL DETENTION CENTER,County & City-Operated Detention Facilities,3,832 East Texas State Highway 44 Encinal TX 78019,832 EAST TEXAS STATE HIGHWAY 44,ENCINAL,TX,78019,Over,County,County,,172,,,NDS
198,BERKS COUNTY RESIDENTIAL CENTER,County & City-Operated Detention Facilities,3,1040 Berks Road Leesport PA 19533,1040 BERKS ROAD,LEESPORT,PA,19533,Over,County,County,Families,84,,,Family and Residential Standards
